dataset,exclusions
ethnicity_post2020_CT,1003990000
ethnicity_post2020_CT,1015981901
ethnicity_post2020_CT,1015981902
ethnicity_post2020_CT,1015981903
ethnicity_post2020_CT,1097990000
ethnicity_post2020_CT,1117980000
ethnicity_post2020_CT,1117980100
ethnicity_post2020_CT,2020980000
ethnicity_post2020_CT,4005980200
ethnicity_post2020_CT,4012980000
ethnicity_post2020_CT,4013216858
ethnicity_post2020_CT,4013319707
ethnicity_post2020_CT,4013319709
ethnicity_post2020_CT,4013422224
ethnicity_post2020_CT,4013422225
ethnicity_post2020_CT,4013422226
ethnicity_post2020_CT,4013522801
ethnicity_post2020_CT,4013617001
ethnicity_post2020_CT,4013619601
ethnicity_post2020_CT,4013980100
ethnicity_post2020_CT,4013980500
ethnicity_post2020_CT,4013980700
ethnicity_post2020_CT,4019980001
ethnicity_post2020_CT,4019980002
ethnicity_post2020_CT,4027980003
ethnicity_post2020_CT,4027980004
ethnicity_post2020_CT,5119980100
ethnicity_post2020_CT,6001444303
ethnicity_post2020_CT,6001990000
ethnicity_post2020_CT,6013990000
ethnicity_post2020_CT,6015990000
ethnicity_post2020_CT,6017990000
ethnicity_post2020_CT,6023990100
ethnicity_post2020_CT,6037277400
ethnicity_post2020_CT,6037980001
ethnicity_post2020_CT,6037980002
ethnicity_post2020_CT,6037980003
ethnicity_post2020_CT,6037980004
ethnicity_post2020_CT,6037980005
ethnicity_post2020_CT,6037980006
ethnicity_post2020_CT,6037980007
ethnicity_post2020_CT,6037980013
ethnicity_post2020_CT,6037980018
ethnicity_post2020_CT,6037980020
ethnicity_post2020_CT,6037980022
ethnicity_post2020_CT,6037980023
ethnicity_post2020_CT,6037980028
ethnicity_post2020_CT,6037980030
ethnicity_post2020_CT,6037980034
ethnicity_post2020_CT,6037980037
ethnicity_post2020_CT,6037980038
ethnicity_post2020_CT,6037980039
ethnicity_post2020_CT,6037990100
ethnicity_post2020_CT,6037990200
ethnicity_post2020_CT,6037990300
ethnicity_post2020_CT,6041990100
ethnicity_post2020_CT,6045990100
ethnicity_post2020_CT,6053980000
ethnicity_post2020_CT,6053990000
ethnicity_post2020_CT,6059990100
ethnicity_post2020_CT,6061990000
ethnicity_post2020_CT,6065980004
ethnicity_post2020_CT,6073009902
ethnicity_post2020_CT,6073990100
ethnicity_post2020_CT,6075980401
ethnicity_post2020_CT,6075990100
ethnicity_post2020_CT,6075990200
ethnicity_post2020_CT,6079990000
ethnicity_post2020_CT,6081984300
ethnicity_post2020_CT,6081990100
ethnicity_post2020_CT,6083980000
ethnicity_post2020_CT,6083990000
ethnicity_post2020_CT,6087990100
ethnicity_post2020_CT,6095980000
ethnicity_post2020_CT,6097990100
ethnicity_post2020_CT,6111990100
ethnicity_post2020_CT,8001988700
ethnicity_post2020_CT,8014980100
ethnicity_post2020_CT,8014980200
ethnicity_post2020_CT,8014980300
ethnicity_post2020_CT,8031980001
ethnicity_post2020_CT,8031980100
ethnicity_post2020_CT,8059980000
ethnicity_post2020_CT,8059980700
ethnicity_post2020_CT,8059980800
ethnicity_post2020_CT,8101980100
ethnicity_post2020_CT,10001990000
ethnicity_post2020_CT,10003980100
ethnicity_post2020_CT,10003990100
ethnicity_post2020_CT,10005980000
ethnicity_post2020_CT,10005990000
ethnicity_post2020_CT,12005990000
ethnicity_post2020_CT,12009069905
ethnicity_post2020_CT,12009980100
ethnicity_post2020_CT,12009990000
ethnicity_post2020_CT,12011990000
ethnicity_post2020_CT,12015990000
ethnicity_post2020_CT,12017990000
ethnicity_post2020_CT,12021990000
ethnicity_post2020_CT,12029990000
ethnicity_post2020_CT,12031990000
ethnicity_post2020_CT,12033990000
ethnicity_post2020_CT,12035990000
ethnicity_post2020_CT,12037990000
ethnicity_post2020_CT,12037990100
ethnicity_post2020_CT,12043990000
ethnicity_post2020_CT,12045990000
ethnicity_post2020_CT,12051990000
ethnicity_post2020_CT,12053990000
ethnicity_post2020_CT,12055980100
ethnicity_post2020_CT,12055980200
ethnicity_post2020_CT,12057980100
ethnicity_post2020_CT,12057980200
ethnicity_post2020_CT,12057980300
ethnicity_post2020_CT,12057980500
ethnicity_post2020_CT,12057980600
ethnicity_post2020_CT,12057980700
ethnicity_post2020_CT,12057990000
ethnicity_post2020_CT,12057990100
ethnicity_post2020_CT,12061980000
ethnicity_post2020_CT,12061990000
ethnicity_post2020_CT,12065990000
ethnicity_post2020_CT,12071980000
ethnicity_post2020_CT,12071990000
ethnicity_post2020_CT,12075990000
ethnicity_post2020_CT,12081990000
ethnicity_post2020_CT,12083980000
ethnicity_post2020_CT,12083980100
ethnicity_post2020_CT,12085990000
ethnicity_post2020_CT,12085990100
ethnicity_post2020_CT,12086980100
ethnicity_post2020_CT,12086980200
ethnicity_post2020_CT,12086980400
ethnicity_post2020_CT,12086980600
ethnicity_post2020_CT,12086980800
ethnicity_post2020_CT,12086980900
ethnicity_post2020_CT,12086981000
ethnicity_post2020_CT,12086981200
ethnicity_post2020_CT,12086990000
ethnicity_post2020_CT,12087990000
ethnicity_post2020_CT,12089990000
ethnicity_post2020_CT,12091990100
ethnicity_post2020_CT,12091990200
ethnicity_post2020_CT,12093990000
ethnicity_post2020_CT,12095990000
ethnicity_post2020_CT,12099007852
ethnicity_post2020_CT,12099008102
ethnicity_post2020_CT,12099980000
ethnicity_post2020_CT,12099980100
ethnicity_post2020_CT,12099980200
ethnicity_post2020_CT,12099980400
ethnicity_post2020_CT,12099980500
ethnicity_post2020_CT,12099990000
ethnicity_post2020_CT,12099990100
ethnicity_post2020_CT,12101990000
ethnicity_post2020_CT,12103990000
ethnicity_post2020_CT,12103990100
ethnicity_post2020_CT,12105980000
ethnicity_post2020_CT,12107980000
ethnicity_post2020_CT,12109990100
ethnicity_post2020_CT,12109990200
ethnicity_post2020_CT,12111980000
ethnicity_post2020_CT,12111990000
ethnicity_post2020_CT,12113990000
ethnicity_post2020_CT,12115990000
ethnicity_post2020_CT,12119980000
ethnicity_post2020_CT,12123990000
ethnicity_post2020_CT,12127990000
ethnicity_post2020_CT,12129990000
ethnicity_post2020_CT,12131990000
ethnicity_post2020_CT,13029980000
ethnicity_post2020_CT,13039990000
ethnicity_post2020_CT,13051980000
ethnicity_post2020_CT,13051990000
ethnicity_post2020_CT,13063980000
ethnicity_post2020_CT,13089980000
ethnicity_post2020_CT,13121980000
ethnicity_post2020_CT,13127990000
ethnicity_post2020_CT,13179990000
ethnicity_post2020_CT,13183980000
ethnicity_post2020_CT,13191980000
ethnicity_post2020_CT,13191990000
ethnicity_post2020_CT,15001990000
ethnicity_post2020_CT,15001990100
ethnicity_post2020_CT,15001990300
ethnicity_post2020_CT,15001990400
ethnicity_post2020_CT,15001990500
ethnicity_post2020_CT,15001990600
ethnicity_post2020_CT,15001990700
ethnicity_post2020_CT,15001990800
ethnicity_post2020_CT,15001990900
ethnicity_post2020_CT,15001991000
ethnicity_post2020_CT,15001991100
ethnicity_post2020_CT,15001991200
ethnicity_post2020_CT,15001991300
ethnicity_post2020_CT,15001991400
ethnicity_post2020_CT,15001991500
ethnicity_post2020_CT,15001991600
ethnicity_post2020_CT,15001991700
ethnicity_post2020_CT,15003980000
ethnicity_post2020_CT,15003980300
ethnicity_post2020_CT,15003980700
ethnicity_post2020_CT,15003980800
ethnicity_post2020_CT,15003981000
ethnicity_post2020_CT,15003981200
ethnicity_post2020_CT,15003982100
ethnicity_post2020_CT,15003990001
ethnicity_post2020_CT,15005990000
ethnicity_post2020_CT,15007041200
ethnicity_post2020_CT,15007990100
ethnicity_post2020_CT,15007990200
ethnicity_post2020_CT,15007990300
ethnicity_post2020_CT,15009980000
ethnicity_post2020_CT,15009990000
ethnicity_post2020_CT,15009990200
ethnicity_post2020_CT,15009991200
ethnicity_post2020_CT,17031381700
ethnicity_post2020_CT,17031980000
ethnicity_post2020_CT,17031980100
ethnicity_post2020_CT,17031990000
ethnicity_post2020_CT,17097990000
ethnicity_post2020_CT,17197980000
ethnicity_post2020_CT,18089990000
ethnicity_post2020_CT,18091990000
ethnicity_post2020_CT,18097390801
ethnicity_post2020_CT,18127980001
ethnicity_post2020_CT,18127980002
ethnicity_post2020_CT,18127990000
ethnicity_post2020_CT,18163980100
ethnicity_post2020_CT,18163980200
ethnicity_post2020_CT,18163980300
ethnicity_post2020_CT,18163980600
ethnicity_post2020_CT,19153011600
ethnicity_post2020_CT,19193940200
ethnicity_post2020_CT,20091980001
ethnicity_post2020_CT,20091980003
ethnicity_post2020_CT,20091980005
ethnicity_post2020_CT,20091980100
ethnicity_post2020_CT,20161980000
ethnicity_post2020_CT,20209044602
ethnicity_post2020_CT,20209044603
ethnicity_post2020_CT,20209980000
ethnicity_post2020_CT,20209980500
ethnicity_post2020_CT,20209980900
ethnicity_post2020_CT,20209981200
ethnicity_post2020_CT,21029980100
ethnicity_post2020_CT,21047980100
ethnicity_post2020_CT,21111980100
ethnicity_post2020_CT,21143980100
ethnicity_post2020_CT,21221980200
ethnicity_post2020_CT,22017980000
ethnicity_post2020_CT,22019980000
ethnicity_post2020_CT,22019980100
ethnicity_post2020_CT,22023990000
ethnicity_post2020_CT,22033980000
ethnicity_post2020_CT,22045990000
ethnicity_post2020_CT,22051980000
ethnicity_post2020_CT,22051990000
ethnicity_post2020_CT,22051990100
ethnicity_post2020_CT,22057990000
ethnicity_post2020_CT,22071980100
ethnicity_post2020_CT,22071990000
ethnicity_post2020_CT,22073980000
ethnicity_post2020_CT,22075990000
ethnicity_post2020_CT,22079980000
ethnicity_post2020_CT,22087990000
ethnicity_post2020_CT,22101990000
ethnicity_post2020_CT,22103990000
ethnicity_post2020_CT,22109990000
ethnicity_post2020_CT,22113990000
ethnicity_post2020_CT,22125951703
ethnicity_post2020_CT,23005990000
ethnicity_post2020_CT,23009990000
ethnicity_post2020_CT,23013990000
ethnicity_post2020_CT,23015990000
ethnicity_post2020_CT,23023990000
ethnicity_post2020_CT,23029990000
ethnicity_post2020_CT,23031990100
ethnicity_post2020_CT,24003990000
ethnicity_post2020_CT,24005980100
ethnicity_post2020_CT,24005980200
ethnicity_post2020_CT,24009990100
ethnicity_post2020_CT,24017990000
ethnicity_post2020_CT,24019990000
ethnicity_post2020_CT,24029990000
ethnicity_post2020_CT,24035990000
ethnicity_post2020_CT,24035990100
ethnicity_post2020_CT,24035990200
ethnicity_post2020_CT,24037990000
ethnicity_post2020_CT,24039990100
ethnicity_post2020_CT,24041990000
ethnicity_post2020_CT,24047980000
ethnicity_post2020_CT,24047990000
ethnicity_post2020_CT,25001990000
ethnicity_post2020_CT,25005990000
ethnicity_post2020_CT,25007990000
ethnicity_post2020_CT,25009990100
ethnicity_post2020_CT,25017359301
ethnicity_post2020_CT,25017359302
ethnicity_post2020_CT,25017980000
ethnicity_post2020_CT,25019990000
ethnicity_post2020_CT,25021980000
ethnicity_post2020_CT,25023990003
ethnicity_post2020_CT,25025061202
ethnicity_post2020_CT,25025981201
ethnicity_post2020_CT,25025981501
ethnicity_post2020_CT,25025981502
ethnicity_post2020_CT,25025981600
ethnicity_post2020_CT,25025981700
ethnicity_post2020_CT,25025981900
ethnicity_post2020_CT,25025990101
ethnicity_post2020_CT,26001990000
ethnicity_post2020_CT,26003990000
ethnicity_post2020_CT,26005990000
ethnicity_post2020_CT,26007990000
ethnicity_post2020_CT,26009990000
ethnicity_post2020_CT,26011990000
ethnicity_post2020_CT,26011990100
ethnicity_post2020_CT,26013990100
ethnicity_post2020_CT,26017990000
ethnicity_post2020_CT,26019990000
ethnicity_post2020_CT,26021990000
ethnicity_post2020_CT,26029990000
ethnicity_post2020_CT,26031990000
ethnicity_post2020_CT,26033980100
ethnicity_post2020_CT,26033990000
ethnicity_post2020_CT,26033990100
ethnicity_post2020_CT,26041990000
ethnicity_post2020_CT,26041990100
ethnicity_post2020_CT,26047990000
ethnicity_post2020_CT,26049980000
ethnicity_post2020_CT,26049980100
ethnicity_post2020_CT,26053990000
ethnicity_post2020_CT,26055990000
ethnicity_post2020_CT,26061990000
ethnicity_post2020_CT,26061990100
ethnicity_post2020_CT,26063990000
ethnicity_post2020_CT,26065980200
ethnicity_post2020_CT,26065980300
ethnicity_post2020_CT,26069990000
ethnicity_post2020_CT,26083990100
ethnicity_post2020_CT,26089990000
ethnicity_post2020_CT,26095980000
ethnicity_post2020_CT,26095990000
ethnicity_post2020_CT,26097990000
ethnicity_post2020_CT,26099980000
ethnicity_post2020_CT,26099980100
ethnicity_post2020_CT,26099982001
ethnicity_post2020_CT,26099982002
ethnicity_post2020_CT,26099982100
ethnicity_post2020_CT,26099990100
ethnicity_post2020_CT,26101990000
ethnicity_post2020_CT,26103990000
ethnicity_post2020_CT,26105990000
ethnicity_post2020_CT,26109990000
ethnicity_post2020_CT,26115990000
ethnicity_post2020_CT,26121990000
ethnicity_post2020_CT,26125981000
ethnicity_post2020_CT,26125981100
ethnicity_post2020_CT,26125981200
ethnicity_post2020_CT,26125981500
ethnicity_post2020_CT,26125981600
ethnicity_post2020_CT,26127990000
ethnicity_post2020_CT,26131990100
ethnicity_post2020_CT,26139990000
ethnicity_post2020_CT,26141990000
ethnicity_post2020_CT,26147990000
ethnicity_post2020_CT,26151990000
ethnicity_post2020_CT,26153990000
ethnicity_post2020_CT,26157990000
ethnicity_post2020_CT,26159990000
ethnicity_post2020_CT,26161980200
ethnicity_post2020_CT,26161980400
ethnicity_post2020_CT,26163981700
ethnicity_post2020_CT,26163981800
ethnicity_post2020_CT,26163981901
ethnicity_post2020_CT,26163981902
ethnicity_post2020_CT,26163982000
ethnicity_post2020_CT,26163982101
ethnicity_post2020_CT,26163982102
ethnicity_post2020_CT,26163982200
