GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",diesel_matter_exposure,0.11882914162711988
1003,"Baldwin, AL",diesel_matter_exposure,0.05471468354830855
1005,"Barbour, AL",diesel_matter_exposure,-0.0711297018652931
1007,"Bibb, AL",diesel_matter_exposure,-0.03740079223459525
1009,"Blount, AL",diesel_matter_exposure,0.021038695575493982
1011,"Bullock, AL",diesel_matter_exposure,-0.09784781113319807
1013,"Butler, AL",diesel_matter_exposure,-0.018582844625348094
1015,"Calhoun, AL",diesel_matter_exposure,0.07390448743175115
1017,"Chambers, AL",diesel_matter_exposure,0.03275405029854128
1019,"Cherokee, AL",diesel_matter_exposure,-0.016103194048821767
1021,"Chilton, AL",diesel_matter_exposure,0.01756179014691983
1023,"Choctaw, AL",diesel_matter_exposure,-0.1075606419014058
1025,"Clarke, AL",diesel_matter_exposure,-0.08010934368065581
1027,"Clay, AL",diesel_matter_exposure,-0.06534464759353564
1029,"Cleburne, AL",diesel_matter_exposure,-0.0021262744562409175
1031,"Coffee, AL",diesel_matter_exposure,-0.04197276638087111
1033,"Colbert, AL",diesel_matter_exposure,0.0762075553433148
1035,"Conecuh, AL",diesel_matter_exposure,-0.06467676095901675
1037,"Coosa, AL",diesel_matter_exposure,-0.07324116453928664
1039,"Covington, AL",diesel_matter_exposure,-0.07506324346930748
1041,"Crenshaw, AL",diesel_matter_exposure,-0.09222863140400517
1043,"Cullman, AL",diesel_matter_exposure,0.06367874259012263
1045,"Dale, AL",diesel_matter_exposure,-0.051135100763742836
1047,"Dallas, AL",diesel_matter_exposure,0.002699379411900349
1049,"DeKalb, AL",diesel_matter_exposure,0.0005317651256855349
1051,"Elmore, AL",diesel_matter_exposure,0.04975709952137475
1053,"Escambia, AL",diesel_matter_exposure,-0.045173504689297594
1055,"Etowah, AL",diesel_matter_exposure,0.11177524373033587
1057,"Fayette, AL",diesel_matter_exposure,-0.06934186822557786
1059,"Franklin, AL",diesel_matter_exposure,-0.06133640762000536
1061,"Geneva, AL",diesel_matter_exposure,-0.07778041327218721
1063,"Greene, AL",diesel_matter_exposure,-0.02401393043684319
1065,"Hale, AL",diesel_matter_exposure,-0.05738292335665829
1067,"Henry, AL",diesel_matter_exposure,-0.07582624685022488
1069,"Houston, AL",diesel_matter_exposure,0.0379678207992844
1071,"Jackson, AL",diesel_matter_exposure,-0.010831486385294964
1073,"Jefferson, AL",diesel_matter_exposure,0.4080489041225859
1075,"Lamar, AL",diesel_matter_exposure,-0.09042774973448453
1077,"Lauderdale, AL",diesel_matter_exposure,0.09503833394870953
1079,"Lawrence, AL",diesel_matter_exposure,-0.01642717036124053
1081,"Lee, AL",diesel_matter_exposure,0.1011092740683952
1083,"Limestone, AL",diesel_matter_exposure,0.13035746330692577
1085,"Lowndes, AL",diesel_matter_exposure,-0.027575280192336238
1087,"Macon, AL",diesel_matter_exposure,0.00521741013995225
1089,"Madison, AL",diesel_matter_exposure,0.19626446475841264
1091,"Marengo, AL",diesel_matter_exposure,-0.07191560766192129
1093,"Marion, AL",diesel_matter_exposure,-0.06340192279295298
1095,"Marshall, AL",diesel_matter_exposure,0.010617829135428636
1097,"Mobile, AL",diesel_matter_exposure,0.34599333360750517
1099,"Monroe, AL",diesel_matter_exposure,-0.08634123841384966
1101,"Montgomery, AL",diesel_matter_exposure,0.26845926852450686
